feature,importance,signed_grad
고령인구비율,2.515316e-05,-2.515316e-05
0~14세 구성비,0.00014988775,-0.00014988775
고용률(%),0.00017764454,0.00017764454
내원일수(총계),0.00041116448,-0.00041116448
근로일수,0.0005263018,0.0005263018
실업률(%),0.00078135636,-0.00078135636
총인구수,0.0017179893,0.0017179893
청구건수(총계),0.002035052,0.002035052
평균연령,0.0022559483,-0.0022559483
평균근로시간,0.0032774888,0.0032774888
가계대출,0.0052752485,-0.0052752485
취업자(천명),0.005316486,0.005316486
실업자(천명),0.0077613834,0.0077613834
가계신용,0.008547717,0.008547717
경제활동인구(천명),0.0085894875,-0.0085894875
근로시간,0.00952721,-0.00952721
환자수(총계),0.009592662,0.009592662
비경제활동인구(천명),0.00959967,0.00959967
보험자부담금(총계),0.010918474,0.010918474
중위연령,0.01143055,-0.01143055
요양급여비용총액(총계),0.011786342,0.011786342
소비자물가상승률(%),0.014623888,0.014623888
GDP,0.014675332,-0.014675332
GNI,0.015210941,-0.015210941
경제활동참가율(%),0.015758058,0.015758058
1인당_실질국민총소득(원),0.019144604,0.019144604
15~64세 구성비,0.019585725,0.019585725
판매신용,0.022930926,0.022930926
임금총액,0.025622262,0.025622262
