feature,importance,signed_grad
요양급여비용총액(총계),0.0015181564,0.0015181564
경제활동인구(천명),0.003422582,-0.003422582
고령인구비율,0.004596532,-0.004596532
보험자부담금(총계),0.005070154,-0.005070154
0~14세 구성비,0.005257758,0.005257758
비경제활동인구(천명),0.005694043,0.005694043
소비자물가상승률(%),0.01576834,-0.01576834
실업률(%),0.016958307,0.016958307
가계신용,0.01974611,0.01974611
GNI,0.022081021,0.022081021
고용률(%),0.022490729,-0.022490729
평균연령,0.02297061,0.02297061
경제활동참가율(%),0.024576478,-0.024576478
내원일수(총계),0.027194887,-0.027194887
실업자(천명),0.027940527,0.027940527
근로시간,0.028180823,0.028180823
총인구수,0.029838927,-0.029838927
가계대출,0.032879606,-0.032879606
GDP,0.0347159,0.0347159
환자수(총계),0.035719812,-0.035719812
취업자(천명),0.037805133,-0.037805133
평균근로시간,0.039130293,-0.039130293
근로일수,0.045274742,0.045274742
임금총액,0.045461,-0.045461
중위연령,0.047422692,0.047422692
청구건수(총계),0.048637666,-0.048637666
15~64세 구성비,0.04903706,-0.04903706
1인당_실질국민총소득(원),0.055624545,-0.055624545
판매신용,0.056066684,-0.056066684
