feature,importance,signed_grad
가계신용,0.00011147326,0.00011147326
고령인구비율,0.0001302883,0.0001302883
가계대출,0.0021453933,-0.0021453933
평균연령,0.0024133734,-0.0024133734
보험자부담금(총계),0.0034594745,0.0034594745
비경제활동인구(천명),0.003495779,0.003495779
GNI,0.0077234497,-0.0077234497
경제활동인구(천명),0.008091645,0.008091645
임금총액,0.008426566,0.008426566
소비자물가상승률(%),0.009005635,0.009005635
0~14세 구성비,0.009636641,-0.009636641
평균근로시간,0.010939954,0.010939954
청구건수(총계),0.012971985,-0.012971985
요양급여비용총액(총계),0.013858309,-0.013858309
실업률(%),0.014957202,-0.014957202
환자수(총계),0.017792415,0.017792415
고용률(%),0.019622792,0.019622792
내원일수(총계),0.020111587,-0.020111587
경제활동참가율(%),0.024428103,0.024428103
총인구수,0.02481224,0.02481224
실업자(천명),0.025062906,-0.025062906
취업자(천명),0.025594048,0.025594048
중위연령,0.0319038,-0.0319038
GDP,0.035121996,-0.035121996
1인당_실질국민총소득(원),0.044258766,0.044258766
15~64세 구성비,0.04439397,0.04439397
판매신용,0.052835852,0.052835852
근로일수,0.074300624,-0.074300624
근로시간,0.095797524,-0.095797524
