feature,importance,signed_grad
요양급여비용총액(총계),0.0014673043,-0.0014673043
비경제활동인구(천명),0.0020483464,-0.0020483464
취업자(천명),0.0064969123,-0.0064969123
평균근로시간,0.009034319,-0.009034319
GNI,0.013415689,0.013415689
실업률(%),0.015685469,-0.015685469
경제활동인구(천명),0.018335013,-0.018335013
1인당_실질국민총소득(원),0.019427996,-0.019427996
가계대출,0.0198489,0.0198489
고용률(%),0.022087432,-0.022087432
보험자부담금(총계),0.025306128,-0.025306128
내원일수(총계),0.030056214,-0.030056214
판매신용,0.030216437,-0.030216437
총인구수,0.03134591,-0.03134591
고령인구비율,0.032191407,-0.032191407
청구건수(총계),0.033335567,-0.033335567
경제활동참가율(%),0.034046344,-0.034046344
0~14세 구성비,0.034254365,-0.034254365
근로시간,0.037356477,0.037356477
가계신용,0.040032122,-0.040032122
평균연령,0.042710513,0.042710513
임금총액,0.045777004,0.045777004
실업자(천명),0.047943234,-0.047943234
근로일수,0.052556045,0.052556045
환자수(총계),0.055283826,-0.055283826
소비자물가상승률(%),0.061133202,-0.061133202
GDP,0.06880821,0.06880821
15~64세 구성비,0.07362377,-0.07362377
중위연령,0.07401296,0.07401296
