feature,importance
평균연령,0.77037907
환자수(총계),1.224484
가계대출,1.419116
비경제활동인구(천명),1.4400427
중위연령,1.5370958
요양급여비용총액(총계),1.5590667
실업률(%),1.5836914
근로시간,1.6448972
경제활동인구(천명),1.8468823
고령인구비율,1.9319746
GNI,2.0255344
경제활동참가율(%),2.0635614
소비자물가상승률(%),2.085898
총인구수,2.0930393
고용률(%),2.102579
0~14세 구성비,2.2229033
내원일수(총계),2.3710825
보험자부담금(총계),2.416675
취업자(천명),2.465681
근로일수,2.5370626
15~64세 구성비,2.564928
GDP,2.6128078
평균근로시간,2.658747
1인당_실질국민총소득(원),2.8829591
판매신용,3.0523326
실업자(천명),3.175181
가계신용,3.2967124
청구건수(총계),3.6394315
임금총액,3.8127003
